Tempo,Vazao
399,1334.83
400,1328.89
401,1328.89
402,1323.01
403,1317.19
404,1317.19
405,1317.19
406,1311.41
407,1311.41
408,1305.67
409,1299.99
410,1299.99
411,1293.94
412,1288.32
413,1288.32
414,1282.29
415,1276.79
416,1276.79
417,1276.79
418,1271.36
419,1271.36
420,1265.98
421,1260.65
422,1260.65
423,1260.65
424,1255.35
425,1255.35
426,1250.1
427,1244.89
428,1244.89
429,1239.73
430,1239.73
431,1234.62
432,1234.62
433,1229.53
434,1229.53
435,1224.5
436,1219.51
437,1219.51
438,1219.51
439,1214.49
440,1209.63
441,1209.63
442,1203.91
443,1199.03
444,1199.03
445,1194.25
446,1194.25
447,1189.51
448,1189.51
449,1184.8
450,1184.8
451,1180.12
452,1180.12
453,1174.78
454,1174.78
455,1174.78
456,1170.18
457,1165.61
458,1165.61
459,1165.61
460,1161.09
461,1156.6
462,1156.6
463,1152.14
464,1152.14
465,1147.71
466,1147.71
467,1143.32
468,1143.32
469,1138.97
470,1134.64
471,1134.64
472,1130.35
473,1130.35
474,1124.07
475,1119.82
476,1119.82
477,1119.82
478,1115.65
479,1115.65
480,1111.5
481,1107.38
482,1107.38
483,1107.38
484,1103.29
485,1099.24
486,1099.24
487,1095.22
488,1095.22
489,1091.22
490,1091.22
491,1091.22
492,1087.25
493,1083.31
494,1083.31
495,1079.4
496,1079.4
497,1075.52
498,1075.52
499,1071.67
500,1071.67
501,1067.83
502,1062.51
503,1062.51
504,1058.71
505,1054.98
506,1054.98
507,1054.98
508,1051.27
509,1051.27
510,1047.59
511,1047.59
512,1043.93
513,1043.93
514,1040.3
515,1040.3
516,1036.7
517,1033.11
518,1033.11
519,1033.11
520,1029.56
521,1029.56
522,1026.02
523,1026.02
524,1022.52
525,1022.52
526,1019.03
527,1019.03
528,1015.57
529,1012.12
530,1012.12
531,1008.71
532,1003.68
533,1003.68
534,1003.68
535,996.434
536,996.434
537,993.125
538,989.834
539,989.834
540,989.834
541,986.571
542,983.329
543,983.329
544,979.377
545,979.377
546,976.183
547,973.01
548,973.01
549,969.853
550,969.853
551,966.721
552,966.721
553,963.608
554,960.513
555,960.513
556,957.437
557,957.437
558,952.927
559,952.927
560,948.664
561,945.634
562,945.634
563,941.311
564,941.311
565,935.094
566,935.094
567,932.158
568,929.252
569,929.252
570,926.379
571,926.379
572,923.521
