Tempo,Vazao
457,1645.9
458,1643.58
459,1647.16
460,1644.85
461,1648.42
462,1646.05
463,1643.8
464,1647.35
465,1645.09
466,1648.62
467,1652.15
468,1649.85
469,1653.36
470,1651.07
471,1654.57
472,1652.3
473,1655.79
474,1659.28
475,1657
476,1660.48
477,1658.19
478,1661.66
479,1659.37
480,1662.82
481,1660.53
482,1663.98
483,1667.42
484,1665.13
485,1668.57
486,1666.28
487,1669.7
488,1667.42
489,1670.83
490,1668.56
491,1671.96
492,1669.68
493,1673.06
494,1670.77
495,1668.52
496,1666.28
497,1669.63
498,1667.41
499,1670.75
500,1674.09
501,1671.83
502,1675.16
503,1672.93
504,1676.25
505,1674.01
506,1677.32
507,1675.09
508,1678.39
509,1676.16
510,1679.45
511,1677.21
512,1680.49
513,1678.27
514,1681.54
515,1679.32
516,1682.58
517,1685.83
518,1683.6
519,1686.84
520,1684.62
521,1687.86
522,1685.64
523,1688.87
524,1692.09
525,1689.87
526,1687.64
527,1690.84
528,1688.64
529,1691.83
530,1689.6
531,1687.44
532,1690.61
533,1688.44
534,1691.6
535,1689.42
536,1692.58
537,1690.4
538,1693.54
539,1696.68
540,1694.51
541,1697.64
542,1695.46
543,1698.58
544,1696.41
545,1699.52
546,1697.35
547,1700.45
548,1698.28
549,1701.37
550,1704.47
551,1702.3
552,1705.38
553,1703.22
554,1706.3
555,1704.12
556,1707.19
557,1705.03
558,1708.09
559,1705.92
560,1708.97
561,1706.82
562,1709.85
563,1707.69
564,1710.72
565,1708.55
566,1711.56
567,1709.46
568,1712.47
569,1710.34
570,1713.34
571,1711.21
572,1714.2
573,1712.07
574,1715.05
575,1718.03
576,1715.89
577,1718.87
578,1716.73
579,1719.7
580,1717.58
581,1720.53
582,1718.41
583,1721.36
584,1719.24
585,1722.18
586,1720.06
587,1722.99
588,1720.86
589,1723.79
590,1726.71
591,1724.61
592,1727.52
593,1725.4
594,1728.3
595,1723.74
596,1726.63
597,1724.5
598,1722.41
599,1725.29
600,1724.43
601,1722.22
602,1725.08
603,1723.01
604,1725.86
605,1723.81
606,1726.65
607,1724.59
608,1727.43
609,1725.38
610,1728.21
611,1726.16
612,1728.98
613,1726.93
614,1729.74
615,1732.55
616,1730.49
617,1733.29
618,1731.25
619,1734.05
620,1732
621,1734.79
622,1732.74
623,1735.52
624,1738.3
625,1736.26
626,1739.03
627,1736.99
628,1739.75
629,1736.18
630,1734.12
631,1732.08
632,1729.84
633,1732.57
634,1730.5
635,1733.23
636,1731.24
637,1733.95
638,1732
639,1734.71
640,1732.72
641,1735.43
642,1733.45
643,1736.15
644,1734.16
645,1736.85
646,1734.88
647,1737.56
648,1735.59
649,1738.27
650,1740.94
651,1738.97
652,1741.64
653,1739.66
654,1742.32
655,1740.35
656,1743
657,1741.04
658,1743.68
659,1746.33
660,1743.47
661,1741.48
662,1744.11
663,1742.15
664,1740.22
665,1738.29
666,1740.9
667,1738.96
668,1741.57
669,1739.64
670,1742.23
671,1740.32
672,1742.91
673,1741
674,1743.59
675,1746.17
676,1743.67
677,1746.25
678,1744.34
679,1746.91
680,1745
681,1747.56
682,1745.65
683,1748.21
684,1746.3
685,1748.85
686,1751.4
687,1749.48
688,1752.02
689,1750.12
690,1747.17
691,1749.7
692,1742.48
693,1739.7
694,1742.2
695,1738.38
696,1740.88
697,1737.78
698,1740.26
699,1737.18
700,1739.66
701,1737.8
702,1740.27
703,1737.33
704,1739.8
705,1736.07
706,1738.53
707,1736.69
708,1739.14
709,1736.75
710,1739.2
711,1741.64
712,1739.84
713,1742.28
714,1740.48
715,1742.91
716,1741.09
717,1739.3
718,1741.73
719,1739.93
720,1738.1
721,1740.51
722,1738.78
723,1741.19
724,1743.59
725,1741.8
726,1744.2
727,1741.02
728,1741.3
729,1739.49
730,1741.87
731,1740.12
732,1742.5
733,1740.74
734,1743.11
735,1741.35
736,1743.72
737,1741.97
738,1744.33
739,1746.69
740,1744.93
741,1747.29
742,1745.53
743,1747.88
744,1746.13
745,1748.47
746,1746.72
747,1749.06
748,1745.26
749,1747.59
750,1745.82
751,1744.09
752,1742.36
753,1740.65
754,1742.96
755,1741.23
756,1743.53
757,1741.84
758,1744.14
759,1742.44
760,1744.74
761,1743.03
762,1745.32
763,1747.61
764,1745.37
765,1747.65
766,1745.95
767,1748.22
768,1746.52
769,1748.79
770,1751.06
771,1749.37
772,1751.64
773,1749.94
774,1752.2
775,1750.5
776,1752.75
777,1751.06
778,1753.31
779,1751.62
780,1753.87
781,1752.18
782,1750.49
783,1752.72
784,1751.04
785,1753.27
786,1751.59
787,1753.82
788,1752.16
789,1754.38
790,1752.7
791,1754.92
792,1753.25
793,1755.46
794,1753.79
795,1756
796,1754.34
797,1752.66
798,1754.85
799,1753.22
800,1755.42
801,1753.76
802,1755.95
803,1754.3
804,1756.48
805,1754.83
806,1757
807,1759.18
808,1757.55
809,1759.72
810,1758.07
811,1760.24
812,1758.58
813,1756.95
814,1759.11
815,1757.46
816,1755.85
817,1758
818,1756.37
819,1758.51
820,1760.66
821,1759.03
822,1757.41
823,1759.54
824,1757.93
825,1760.06
826,1758.43
827,1756.82
828,1758.94
829,1757.34
830,1759.46
831,1757.86
832,1759.98
833,1758.35
834,1756.77
835,1758.87
836,1757.29
837,1759.39
838,1761.49
839,1759.88
840,1761.98
841,1759.73
842,1758.11
843,1760.2
844,1758.62
845,1757.04
846,1759.12
847,1757.56
848,1759.63
849,1758.05
850,1760.12
851,1758.56
852,1760.62
853,1762.69
854,1761.11
855,1763.17
856,1761.6
857,1760.03
858,1762.08
859,1764.13
860,1762.14
861,1760.6
862,1762.65
863,1761.1
864,1763.14
865,1761.59
866,1763.63
867,1765.66
868,1764.1
869,1766.13
870,1768.16
871,1766.6
872,1768.63
873,1767.08
874,1769.1
875,1767.53
876,1766
877,1768.01
878,1766.43
879,1764.93
880,1766.93
881,1765.41
882,1767.41
883,1769.41
884,1767.87
885,1766.34
886,1768.33
887,1770.32
888,1768.79
889,1767.26
890,1769.24
891,1767.72
892,1769.7
893,1768.19
894,1770.17
895,1768.64
896,1770.61
897,1769.1
898,1771.07
899,1773.04
900,1771.51
901,1773.47
902,1771.97
903,1773.93
904,1772.42
905,1774.38
906,1772.86
907,1774.82
908,1773.3
909,1771.79
910,1773.73
911,1772.22
912,1774.16
913,1772.68
914,1774.62
915,1773.13
916,1775.06
917,1773.56
918,1775.49
919,1773.99
920,1775.92
921,1774.02
922,1772.53
923,1774.45
924,1772.96
925,1774.88
926,1776.79
927,1775.32
928,1777.23
929,1775.75
930,1777.66
931,1776.17
932,1778.07
933,1776.6
934,1778.5
935,1777.03
936,1778.92
937,1777.44
938,1779.34
939,1777.43
940,1779.33
941,1777.86
942,1779.75
943,1778.27
944,1776.81
945,1778.69
946,1777.23
947,1779.11
948,1777.65
949,1779.52
950,1781.39
951,1779.94
952,1778.48
953,1780.35
954,1782.21
955,1779.9
956,1781.76
957,1779.77
958,1781.63
959,1780.14
960,1778.71
961,1780.56
962,1779.11
963,1780.96
964,1779.53
965,1781.37
966,1779.94
967,1781.78
968,1780.34
969,1782.18
970,1780.74
971,1782.57
972,1781.14
973,1782.97
974,1781.54
975,1780.11
976,1781.94
977,1780.51
978,1782.33
979,1780.91
980,1782.73
981,1781.32
982,1783.13
983,1784.94
984,1783.52
985,1785.33
986,1783.91
987,1782.49
988,1784.3
989,1782.87
990,1784.67
991,1783.27
992,1785.07
993,1786.87
994,1785.46
995,1787.26
996,1785.84
997,1787.63
998,1785.8
999,1787.59
1000,1789.38
1001,1787.97
1002,1789.75
1003,1788.35
1004,1790.13
1005,1788.71
1006,1790.49
1007,1789.1
1008,1787.67
1009,1789.44
1010,1788.07
1011,1789.84
1012,1788.45
1013,1790.22
1014,1788.83
1015,1790.59
1016,1789.2
1017,1790.95
1018,1789.56
1019,1791.32
1020,1789.93
1021,1791.68
1022,1793.44
1023,1792.05
1024,1793.8
1025,1792.42
1026,1794.17
1027,1795.91
1028,1794.52
1029,1796.27
1030,1794.88
1031,1796.62
1032,1795.24
1033,1796.97
1034,1795.59
1035,1797.33
1036,1799.06
1037,1797.67
1038,1799.41
1039,1798.02
1040,1796.65
1041,1798.37
1042,1797
1043,1798.72
1044,1797.31
1045,1795.98
1046,1797.7
1047,1796.33
1048,1798.04
1049,1799.76
1050,1798.39
1051,1800.1
1052,1798.74
1053,1800.44
1054,1799.08
1055,1800.78
1056,1799.42
1057,1801.12
1058,1802.82
1059,1801.46
1060,1803.16
1061,1801.8
1062,1803.5
1063,1802.13
1064,1803.83
1065,1802.47
1066,1804.16
1067,1805.85
1068,1804.49
1069,1806.18
1070,1804.82
1071,1806.5
1072,1805.14
1073,1806.82
