Tempo,Vazao
456,5.37222
457,5.38397
458,5.39573
459,5.40748
460,5.41924
461,5.43099
462,5.44275
463,5.45451
464,5.46626
465,5.47802
466,5.48977
467,5.50153
468,5.51328
469,5.52504
470,5.53679
471,5.54855
472,5.5603
473,5.57206
474,5.58382
475,5.59557
476,5.60733
477,5.61908
478,5.63084
479,5.64259
480,5.65435
481,5.6661
482,5.67786
483,5.68961
484,5.70137
485,5.71312
486,5.72488
487,5.73664
488,5.74839
489,5.76015
490,5.7719
491,5.78366
492,5.79541
493,5.80717
494,5.81892
495,5.83068
496,5.84243
497,5.85419
498,5.86594
499,5.8777
500,5.88946
501,5.90121
502,5.91297
503,5.92472
504,5.93648
505,5.94823
506,5.95999
507,5.97174
508,5.9835
509,5.99525
510,6.00701
511,6.01876
512,6.03052
513,6.04228
514,6.05403
515,6.06579
516,6.07754
517,6.0893
518,6.10105
519,6.11281
520,6.12456
521,6.13632
522,6.14807
523,6.15983
524,6.17159
525,6.18334
526,6.1951
527,6.20685
528,6.21861
529,6.23036
530,6.24212
531,6.25387
532,6.26563
533,6.27738
534,6.28914
535,6.30089
536,6.31265
537,6.32441
538,6.33616
539,6.34792
540,6.35967
541,6.37143
542,6.38318
543,6.39494
544,6.40669
545,6.41845
546,6.4302
547,6.44196
548,6.45371
549,6.46547
550,6.47723
551,6.48898
552,6.50074
553,6.51249
554,6.52425
555,6.536
556,6.54776
557,6.55951
558,6.57127
559,6.58302
560,6.59478
561,6.60653
562,6.61829
563,6.63005
564,6.6418
565,6.65356
566,6.66531
567,6.67707
568,6.68882
569,6.70058
570,6.71233
571,6.72409
572,6.73584
573,6.7476
574,6.75936
575,6.77111
576,6.78287
577,6.79462
578,6.80638
579,6.81813
580,6.82989
581,6.84164
582,6.8534
583,6.86515
584,6.87691
585,6.88866
586,6.90042
587,6.91218
588,6.92393
589,6.93569
590,6.94744
591,6.9592
592,6.97095
593,6.98271
594,6.99446
595,7.00622
596,7.01797
597,7.02973
598,7.04148
599,7.05324
600,7.065
601,7.07675
602,7.08851
603,7.10026
604,7.11202
605,7.12377
606,7.13553
607,7.14728
608,7.15904
609,7.17079
610,7.18255
611,7.1943
612,7.20606
613,7.21782
614,7.22957
615,7.24133
616,7.2398
617,7.25154
618,7.26327
619,7.275
620,7.28674
621,7.29847
622,7.3102
623,7.32194
624,7.33367
625,7.34541
626,7.35714
627,7.36887
628,7.38061
629,7.39234
630,7.40408
631,7.41581
632,7.42754
633,7.43928
634,7.45101
635,7.46275
636,7.47448
637,7.48621
638,7.49795
639,7.50968
640,7.52141
641,7.53315
642,7.54488
643,7.55662
644,7.56835
645,7.58008
646,7.59182
647,7.60355
648,7.61529
649,7.62702
650,7.63875
651,7.65049
652,7.66222
653,7.67395
654,7.68569
655,7.69742
656,7.70916
657,7.72089
658,7.73262
659,7.74436
660,7.75609
661,7.76783
662,7.77956
663,7.79129
664,7.80303
665,7.81476
666,7.8265
667,7.83823
668,7.84996
669,7.8617
670,7.87343
671,7.88516
672,7.8969
673,7.90863
674,7.92037
675,7.9321
676,7.94383
677,7.95557
678,7.9673
679,7.97904
680,7.99077
681,8.0025
682,8.01424
683,8.02597
684,8.03771
685,8.04944
686,8.06117
687,8.07291
688,8.08464
689,8.09637
690,8.10811
691,8.11984
692,8.13158
693,8.14331
694,8.15504
695,8.16678
696,8.17851
697,8.19025
698,8.20198
699,8.21371
700,8.22545
701,8.23718
702,8.24891
703,8.26065
704,8.27238
705,8.28412
706,8.29585
707,8.30758
708,8.31932
709,8.33105
710,8.34279
711,8.35452
712,8.36625
713,8.37799
714,8.38972
715,8.40146
716,8.41319
717,8.42492
718,8.43666
719,8.44839
720,8.46012
721,8.47186
722,8.48359
723,8.49533
724,8.50706
725,8.51879
726,8.53053
727,8.54226
728,8.554
729,8.56573
730,8.57746
731,8.5892
732,8.60093
733,8.61266
734,8.6244
735,8.63613
736,8.64787
737,8.6596
738,8.67133
739,8.68307
740,8.6948
741,8.70654
742,8.71827
743,8.73
744,8.74174
745,8.75347
746,8.76521
747,8.77694
748,8.78867
749,8.80041
750,8.81214
751,8.82387
752,8.83561
753,8.84734
754,8.85908
755,8.87081
756,8.88254
757,8.89428
758,8.90601
759,8.91775
760,8.92948
761,8.94121
762,8.95295
763,8.96468
764,8.97642
765,8.98815
766,8.99988
767,9.01162
768,9.02335
769,9.03508
770,9.04682
771,9.05855
772,9.07029
773,9.08202
774,9.09375
775,9.10549
776,9.11722
777,9.12896
778,9.14069
779,9.15242
780,9.16416
781,9.17589
782,9.18762
783,9.19936
784,9.21109
785,9.22283
786,9.23456
787,9.24629
788,9.25803
789,9.26976
790,9.2815
791,9.29323
792,9.30496
793,9.3167
794,9.32843
795,9.34017
796,9.3519
797,9.36363
798,9.37537
799,9.3871
800,9.39883
801,9.41057
802,9.4223
803,9.43404
804,9.44577
805,9.4575
806,9.46924
807,9.48097
808,9.49271
809,9.50444
810,9.51617
811,9.52791
812,9.53964
813,9.55138
814,9.56311
815,9.57484
816,9.58658
817,9.59831
818,9.61004
819,9.62178
820,9.63351
821,9.64525
822,9.65698
823,9.66871
824,9.68045
825,9.69218
826,9.70392
827,9.71565
828,9.72738
829,9.73912
830,9.75085
831,9.76258
832,9.77432
833,9.78605
834,9.79779
835,9.80952
836,9.82125
837,9.83299
838,9.84472
839,9.85646
840,9.86819
841,9.87992
